cve,cvss,epss,percentile
CVE-2016-4151,8.8,0.0087700000,0.8055400000
CVE-2016-4152,8.8,0.0087700000,0.8055400000
CVE-2016-4153,8.8,0.0087700000,0.8055400000
CVE-2016-4154,8.8,0.0087700000,0.8055400000
CVE-2016-4155,8.8,0.0087700000,0.8055400000
CVE-2016-4156,8.8,0.0118400000,0.8346700000
CVE-2016-4160,9.8,0.0182400000,0.8681900000
CVE-2016-4161,9.8,0.0182400000,0.8681900000
CVE-2016-4162,9.8,0.0182400000,0.8681900000
CVE-2016-4163,9.8,0.0182400000,0.8681900000
CVE-2016-4166,8.8,0.0138100000,0.8476400000
CVE-2016-4171,9.8,0.1560300000,0.9524900000
CVE-2016-4172,8.8,0.0163100000,0.8604100000
CVE-2016-4173,8.8,0.0149900000,0.8536000000
CVE-2016-4174,8.8,0.0150300000,0.8540300000
CVE-2016-4175,8.8,0.0649200000,0.9288100000
CVE-2016-4176,8.8,0.0981600000,0.9413000000
CVE-2016-4177,8.8,0.0981600000,0.9413000000
CVE-2016-4178,4.3,0.0023100000,0.6088100000
CVE-2016-4179,8.8,0.0649200000,0.9288100000
CVE-2016-4180,8.8,0.0163100000,0.8604100000
CVE-2016-4181,8.8,0.0163100000,0.8604100000
CVE-2016-4182,8.8,0.0152200000,0.8551400000
CVE-2016-4183,8.8,0.0163100000,0.8604100000
CVE-2016-4184,8.8,0.0163100000,0.8604100000
CVE-2016-4185,8.8,0.0159800000,0.8587800000
CVE-2016-4186,8.8,0.0163100000,0.8604100000
CVE-2016-4187,8.8,0.0163100000,0.8604100000
CVE-2016-4188,8.8,0.0159800000,0.8587800000
CVE-2016-4189,8.8,0.0163100000,0.8604100000
CVE-2016-4190,8.8,0.0163100000,0.8604100000
CVE-2016-4191,9.8,0.0289400000,0.8955600000
CVE-2016-4192,9.8,0.0135400000,0.8460100000
CVE-2016-4193,9.8,0.0135400000,0.8460100000
CVE-2016-4194,9.8,0.0135400000,0.8460100000
CVE-2016-4195,8.8,0.0247800000,0.8879900000
CVE-2016-4196,8.8,0.0292800000,0.8960700000
CVE-2016-4197,8.8,0.0292800000,0.8960700000
CVE-2016-4198,8.8,0.0292800000,0.8960700000
CVE-2016-4199,8.8,0.0292800000,0.8960700000
CVE-2016-4200,8.8,0.0292800000,0.8960700000
CVE-2016-4201,9.8,0.0182000000,0.8680500000
CVE-2016-4202,8.8,0.0247800000,0.8879900000
CVE-2016-4203,9.8,0.0182000000,0.8680500000
CVE-2016-4204,9.8,0.0182000000,0.8680500000
CVE-2016-4205,9.8,0.0182000000,0.8680500000
CVE-2016-4206,9.8,0.0182000000,0.8680500000
CVE-2016-4207,9.8,0.0182000000,0.8680500000
CVE-2016-4208,9.8,0.0182000000,0.8680500000
CVE-2016-4209,9.8,0.0250300000,0.8884000000
CVE-2016-4210,9.8,0.0603200000,0.9261300000
CVE-2016-4211,9.8,0.0135400000,0.8460100000
CVE-2016-4212,9.8,0.0135400000,0.8460100000
CVE-2016-4213,9.8,0.0135400000,0.8460100000
CVE-2016-4214,9.8,0.0135400000,0.8460100000
CVE-2016-4215,9.8,0.0183400000,0.8685700000
CVE-2016-4217,8.8,0.0163100000,0.8604100000
CVE-2016-4218,8.8,0.0163100000,0.8604100000
CVE-2016-4219,8.8,0.0163100000,0.8604100000
CVE-2016-4220,8.8,0.0163100000,0.8604100000
CVE-2016-4221,8.8,0.0163100000,0.8604100000
CVE-2016-4222,8.8,0.0196900000,0.8738300000
CVE-2016-4223,8.8,0.0137600000,0.8474400000
CVE-2016-4224,8.8,0.0137600000,0.8474400000
CVE-2016-4225,8.8,0.0137600000,0.8474400000
CVE-2016-4226,8.8,0.9245400000,0.9865300000
CVE-2016-4227,8.8,0.9160400000,0.9855800000
CVE-2016-4228,8.8,0.9245400000,0.9865300000
CVE-2016-4229,8.8,0.8976300000,0.9839800000
CVE-2016-4230,8.8,0.9267500000,0.9868300000
CVE-2016-4231,8.8,0.9329300000,0.9876600000
CVE-2016-4232,7.5,0.8763400000,0.9826800000
CVE-2016-4233,8.8,0.0163100000,0.8604100000
CVE-2016-4234,8.8,0.0163100000,0.8604100000
CVE-2016-4235,8.8,0.0163100000,0.8604100000
CVE-2016-4236,8.8,0.0163100000,0.8604100000
CVE-2016-4237,8.8,0.0163100000,0.8604100000
CVE-2016-4238,8.8,0.0163100000,0.8604100000
CVE-2016-4239,8.8,0.0163100000,0.8604100000
CVE-2016-4240,8.8,0.0163100000,0.8604100000
CVE-2016-4241,8.8,0.0163100000,0.8604100000
CVE-2016-4242,8.8,0.0163100000,0.8604100000
CVE-2016-4243,8.8,0.0163100000,0.8604100000
CVE-2016-4244,8.8,0.0163100000,0.8604100000
CVE-2016-4245,8.8,0.0163100000,0.8604100000
CVE-2016-4246,8.8,0.0163100000,0.8604100000
CVE-2016-4247,5.3,0.0049500000,0.7340900000
CVE-2016-4248,8.8,0.0196500000,0.8736700000
CVE-2016-4249,8.8,0.0142700000,0.8498600000
CVE-2016-4250,9.8,0.0135400000,0.8460100000
CVE-2016-4251,9.8,0.0274700000,0.8932500000
CVE-2016-4252,9.8,0.0135400000,0.8460100000
CVE-2016-4254,9.8,0.0135400000,0.8460100000
CVE-2016-4255,8.8,0.0320800000,0.9002000000
CVE-2016-4265,9.8,0.0179000000,0.8665700000
CVE-2016-4266,9.8,0.0179000000,0.8665700000
CVE-2016-4267,9.8,0.0179000000,0.8665700000
CVE-2016-4268,9.8,0.0179000000,0.8665700000
CVE-2016-4269,9.8,0.0179000000,0.8665700000
CVE-2016-4270,9.8,0.0179000000,0.8665700000
CVE-2016-4271,6.5,0.0040600000,0.7070300000
CVE-2016-4272,8.8,0.0113400000,0.8304500000
CVE-2016-4273,8.8,0.9327200000,0.9876000000
CVE-2016-4274,8.8,0.0197100000,0.8739700000
CVE-2016-4275,8.8,0.7638600000,0.9781700000
CVE-2016-4276,8.8,0.0140200000,0.8487400000
CVE-2016-4277,6.5,0.0015700000,0.5179000000
CVE-2016-4278,6.5,0.0015700000,0.5179000000
CVE-2016-4279,8.8,0.0113600000,0.8306400000
CVE-2016-4280,8.8,0.0197100000,0.8739700000
CVE-2016-4281,8.8,0.0197100000,0.8739700000
CVE-2016-4282,8.8,0.0197100000,0.8739700000
CVE-2016-4283,8.8,0.0197100000,0.8739700000
CVE-2016-4284,8.8,0.0197100000,0.8739700000
CVE-2016-4285,8.8,0.0197100000,0.8739700000
CVE-2016-4286,8.8,0.0095900000,0.8148500000
CVE-2016-4287,8.8,0.0184700000,0.8693300000
CVE-2016-4342,8.8,0.0303700000,0.8977500000
CVE-2016-4343,8.8,0.2750800000,0.9621800000
CVE-2016-4375,9.8,0.0066800000,0.7733900000
CVE-2016-4393,5.4,0.0011500000,0.4477300000
CVE-2016-4394,6.5,0.0041500000,0.7103500000
CVE-2016-4395,7.5,0.0147000000,0.8521100000
CVE-2016-4396,7.5,0.0147000000,0.8521100000
CVE-2016-4447,7.5,0.0019900000,0.5728500000
CVE-2016-4448,9.8,0.0081600000,0.7981700000
CVE-2016-4449,7.1,0.0071400000,0.7821700000
CVE-2016-4483,7.5,0.0044100000,0.7186200000
CVE-2016-4518,6.5,0.0015700000,0.5167600000
CVE-2016-4537,9.8,0.0359200000,0.9051200000
CVE-2016-4538,9.8,0.0359200000,0.9051200000
CVE-2016-4539,9.8,0.0275800000,0.8935000000
CVE-2016-4540,9.8,0.0324300000,0.9007300000
CVE-2016-4541,9.8,0.0324300000,0.9007300000
CVE-2016-4542,9.8,0.0324300000,0.9007300000
CVE-2016-4543,9.8,0.0171100000,0.8632800000
CVE-2016-4544,9.8,0.0134900000,0.8456800000
CVE-2016-4913,7.8,0.0004400000,0.0841200000
CVE-2016-4953,7.5,0.0167400000,0.8618400000
CVE-2016-4954,7.5,0.0165100000,0.8610800000
CVE-2016-4955,5.9,0.0131900000,0.8439700000
CVE-2016-4956,5.3,0.0143600000,0.8503100000
CVE-2016-4957,7.5,0.9423500000,0.9889200000
CVE-2016-4975,6.1,0.0042800000,0.7141400000
CVE-2016-5018,9.1,0.0023400000,0.6107300000
CVE-2016-5108,9.8,0.2603500000,0.9613500000
CVE-2016-5127,7.5,0.0076000000,0.7898400000
CVE-2016-5128,8.8,0.0070400000,0.7802700000
CVE-2016-5129,8.8,0.0119100000,0.8350500000
CVE-2016-5130,6.5,0.0048800000,0.7322800000
CVE-2016-5131,8.8,0.0084800000,0.8020300000
CVE-2016-5132,8.8,0.0088800000,0.8070800000
CVE-2016-5133,5.3,0.0054900000,0.7476800000
CVE-2016-5134,8.8,0.0130200000,0.8429900000
CVE-2016-5135,6.5,0.0049100000,0.7332500000
CVE-2016-5136,8.8,0.0131000000,0.8434900000
CVE-2016-5137,4.3,0.0052700000,0.7423100000
CVE-2016-5139,7.6,0.0182500000,0.8682200000
CVE-2016-5140,9.8,0.0188400000,0.8707400000
CVE-2016-5141,7.5,0.0058000000,0.7550200000
CVE-2016-5142,9.8,0.0098300000,0.8169000000
CVE-2016-5143,9.8,0.0108700000,0.8265600000
CVE-2016-5144,9.8,0.0138200000,0.8476700000
CVE-2016-5145,8.8,0.0131100000,0.8435900000
CVE-2016-5146,9.8,0.0065600000,0.7706300000
CVE-2016-5147,6.1,0.0042200000,0.7122700000
CVE-2016-5148,6.1,0.0030900000,0.6644500000
CVE-2016-5149,8.8,0.0098900000,0.8176900000
CVE-2016-5150,8.8,0.0075100000,0.7882200000
CVE-2016-5151,8.8,0.0111300000,0.8288000000
CVE-2016-5152,8.8,0.0123700000,0.8387700000
CVE-2016-5153,8.8,0.0055500000,0.7490700000
CVE-2016-5154,8.8,0.0103600000,0.8217800000
CVE-2016-5155,6.5,0.0037500000,0.6955100000
CVE-2016-5156,8.8,0.0111300000,0.8288000000
CVE-2016-5157,8.8,0.0083300000,0.8003400000
CVE-2016-5158,8.8,0.0123700000,0.8387700000
CVE-2016-5159,8.8,0.0123700000,0.8387700000
CVE-2016-5160,6.5,0.0037400000,0.6951800000
CVE-2016-5161,8.8,0.0045200000,0.7222000000
CVE-2016-5162,6.5,0.0041900000,0.7112700000
CVE-2016-5163,4.3,0.0047900000,0.7299900000
CVE-2016-5164,6.1,0.0025700000,0.6303300000
CVE-2016-5165,6.1,0.0027300000,0.6425100000
CVE-2016-5166,3.1,0.0040400000,0.7063900000
CVE-2016-5167,8.8,0.0047200000,0.7278800000
CVE-2016-5168,7.5,0.0010900000,0.4339600000
CVE-2016-5170,8.8,0.0099900000,0.8186100000
CVE-2016-5171,8.8,0.0099900000,0.8186100000
CVE-2016-5172,6.5,0.0029700000,0.6573500000
CVE-2016-5173,7.1,0.0073700000,0.7860300000
CVE-2016-5174,6.5,0.0094400000,0.8132100000
CVE-2016-5175,8.8,0.0046300000,0.7252300000
CVE-2016-5176,6.5,0.0025400000,0.6291600000
CVE-2016-5177,8.8,0.0076900000,0.7913500000
CVE-2016-5178,9.8,0.0085700000,0.8031300000
CVE-2016-5181,6.1,0.0138800000,0.8479900000
CVE-2016-5182,8.8,0.0329000000,0.9013400000
CVE-2016-5183,8.8,0.0096400000,0.8152000000
CVE-2016-5184,8.8,0.0066200000,0.7723700000
CVE-2016-5185,8.8,0.0078900000,0.7946000000
CVE-2016-5186,5.3,0.0052800000,0.7424600000
CVE-2016-5187,6.5,0.0045600000,0.7233800000
CVE-2016-5188,4.3,0.0027400000,0.6427200000
CVE-2016-5189,6.5,0.0045600000,0.7233800000
CVE-2016-5190,6.3,0.0044700000,0.7203200000
CVE-2016-5191,6.1,0.0028700000,0.6514700000
CVE-2016-5192,6.5,0.0049700000,0.7347500000
CVE-2016-5193,4.3,0.0039300000,0.7026600000
CVE-2016-5194,9.8,0.0010600000,0.4251500000
CVE-2016-5198,8.8,0.0283800000,0.8947500000
CVE-2016-5199,8.8,0.0115900000,0.8324800000
CVE-2016-5200,8.8,0.0150500000,0.8541300000
CVE-2016-5201,6.5,0.0050000000,0.7353700000
CVE-2016-5202,9.1,0.0016600000,0.5292100000
CVE-2016-5203,8.8,0.0078900000,0.7946000000
CVE-2016-5204,6.1,0.0026200000,0.6342300000
CVE-2016-5205,6.1,0.0026200000,0.6342300000
CVE-2016-5206,8.8,0.0090100000,0.8085500000
CVE-2016-5207,6.1,0.0085100000,0.8023600000
CVE-2016-5208,6.1,0.0033200000,0.6766500000
CVE-2016-5209,8.8,0.0078900000,0.7946000000
CVE-2016-5210,8.8,0.0141400000,0.8493300000
CVE-2016-5211,8.8,0.0078900000,0.7946000000
CVE-2016-5212,6.5,0.0032100000,0.6708800000
CVE-2016-5213,8.8,0.0078900000,0.7946000000
CVE-2016-5214,4.3,0.0027400000,0.6427200000
CVE-2016-5215,6.3,0.0032500000,0.6728500000
CVE-2016-5216,6.3,0.0023800000,0.6144700000
CVE-2016-5217,6.5,0.0049700000,0.7347500000
CVE-2016-5218,6.5,0.0052500000,0.7418300000
CVE-2016-5219,6.3,0.0058100000,0.7552900000
CVE-2016-5220,6.5,0.0041800000,0.7109500000
CVE-2016-5221,6.3,0.0052200000,0.7410300000
CVE-2016-5222,6.5,0.0052500000,0.7418300000
CVE-2016-5223,6.5,0.0058800000,0.7570600000
CVE-2016-5224,4.3,0.0033500000,0.6779400000
CVE-2016-5225,4.3,0.0043500000,0.7169500000
CVE-2016-5226,6.1,0.0020300000,0.5783000000
CVE-2016-5250,4.3,0.0064200000,0.7680400000
CVE-2016-5251,4.3,0.0059100000,0.7578100000
CVE-2016-5252,8.8,0.0095000000,0.8137700000
CVE-2016-5253,4.7,0.0004200000,0.0568200000
CVE-2016-5254,9.8,0.0083900000,0.8010300000
CVE-2016-5255,8.8,0.0363500000,0.9055900000
CVE-2016-5256,9.8,0.0273200000,0.8930500000
CVE-2016-5257,9.8,0.0313800000,0.8991700000
CVE-2016-5258,8.8,0.0183100000,0.8684900000
CVE-2016-5259,8.8,0.0217400000,0.8805100000
CVE-2016-5260,6.5,0.0036800000,0.6932400000
CVE-2016-5261,8.8,0.0165200000,0.8611000000
CVE-2016-5262,6.1,0.0023900000,0.6152800000
CVE-2016-5263,8.8,0.0044500000,0.7198600000
CVE-2016-5264,8.8,0.0197300000,0.8740200000
CVE-2016-5265,5.5,0.0013600000,0.4845500000
CVE-2016-5266,8.1,0.0086100000,0.8035000000
CVE-2016-5267,5.3,0.0052500000,0.7418300000
CVE-2016-5268,4.3,0.0059100000,0.7578100000
CVE-2016-5270,9.8,0.0275700000,0.8934700000
CVE-2016-5271,6.5,0.0083900000,0.8010100000
CVE-2016-5272,8.8,0.0156900000,0.8573600000
CVE-2016-5273,8.8,0.0097800000,0.8164900000
CVE-2016-5274,9.8,0.0466900000,0.9164000000
CVE-2016-5275,8.8,0.0326900000,0.9010700000
CVE-2016-5276,9.8,0.0642500000,0.9283900000
CVE-2016-5277,9.8,0.0416400000,0.9115500000
CVE-2016-5278,8.8,0.0479900000,0.9176100000
CVE-2016-5279,4.3,0.0046600000,0.7261600000
CVE-2016-5280,9.8,0.0508200000,0.9198600000
CVE-2016-5281,9.8,0.0181800000,0.8679300000
CVE-2016-5282,6.5,0.0041800000,0.7109500000
CVE-2016-5283,8.8,0.0089300000,0.8076900000
CVE-2016-5284,7.4,0.0024000000,0.6160400000
CVE-2016-5289,9.8,0.0048700000,0.7319400000
CVE-2016-5290,9.8,0.0051000000,0.7382200000
CVE-2016-5291,5.5,0.0009400000,0.3928900000
CVE-2016-5292,6.5,0.0090100000,0.8085300000
CVE-2016-5293,5.5,0.0005800000,0.2292300000
CVE-2016-5294,5.5,0.0007200000,0.2982400000
CVE-2016-5295,7.8,0.0006200000,0.2492200000
CVE-2016-5296,7.5,0.0176700000,0.8655400000
CVE-2016-5297,9.8,0.0067200000,0.7740500000
CVE-2016-5298,6.5,0.0018800000,0.5589300000
CVE-2016-5299,7.5,0.0029800000,0.6578800000
CVE-2016-5304,6.8,0.0101100000,0.8198200000
CVE-2016-5305,5.4,0.0025200000,0.6261500000
CVE-2016-5306,5.3,0.0011700000,0.4506100000
CVE-2016-5307,4.3,0.0011500000,0.4473600000
CVE-2016-5350,7.5,0.0036400000,0.6913700000
CVE-2016-5351,5.9,0.0097000000,0.8157500000
CVE-2016-5352,5.9,0.0025800000,0.6311300000
CVE-2016-5353,5.9,0.0031900000,0.6697500000
CVE-2016-5354,5.9,0.0032200000,0.6711400000
CVE-2016-5355,5.9,0.0031100000,0.6651000000
CVE-2016-5356,5.9,0.0031100000,0.6651000000
CVE-2016-5357,5.9,0.0023400000,0.6109200000
CVE-2016-5358,5.9,0.0023000000,0.6079400000
CVE-2016-5359,5.9,0.0025200000,0.6263500000
CVE-2016-5385,8.1,0.9512800000,0.9906900000
CVE-2016-5387,8.1,0.9702600000,0.9965600000
CVE-2016-5388,8.1,0.9482200000,0.9901100000
CVE-2016-5399,7.8,0.1767800000,0.9548800000
CVE-2016-5436,4.9,0.0013000000,0.4731300000
CVE-2016-5437,4.9,0.0013000000,0.4731300000
CVE-2016-5439,4.9,0.0016600000,0.5287700000
CVE-2016-5440,4.9,0.0012400000,0.4633800000
CVE-2016-5441,4.9,0.0013000000,0.4731300000
CVE-2016-5442,4.9,0.0013000000,0.4731300000
CVE-2016-5443,4.7,0.0007100000,0.2956600000
CVE-2016-5444,3.7,0.0036000000,0.6897500000
CVE-2016-5477,5.8,0.0018300000,0.5516200000
CVE-2016-5497,6.4,0.0004300000,0.0799100000
CVE-2016-5498,3.3,0.0004300000,0.0799100000
CVE-2016-5499,3.3,0.0004300000,0.0799100000
CVE-2016-5505,5.5,0.0004300000,0.0799100000
CVE-2016-5507,4.9,0.0012900000,0.4718800000
CVE-2016-5516,6.0,0.0004300000,0.0799100000
CVE-2016-5535,9.8,0.0455400000,0.9152400000
CVE-2016-5542,3.1,0.0066700000,0.7731800000
CVE-2016-5546,7.5,0.0042200000,0.7123400000
CVE-2016-5547,5.3,0.0044300000,0.7191900000
CVE-2016-5548,6.5,0.0032100000,0.6707200000
CVE-2016-5549,6.5,0.0032100000,0.6707200000
CVE-2016-5552,5.3,0.0043200000,0.7157700000
CVE-2016-5554,4.3,0.0066700000,0.7731800000
CVE-2016-5555,9.1,0.0018700000,0.5559800000
CVE-2016-5556,9.6,0.0072500000,0.7840500000
CVE-2016-5568,9.6,0.0079800000,0.7961000000
CVE-2016-5572,6.4,0.0004300000,0.0799100000
CVE-2016-5573,8.3,0.0086800000,0.8043100000
CVE-2016-5582,9.6,0.0072500000,0.7840500000
CVE-2016-5583,5.3,0.0029100000,0.6545500000
CVE-2016-5584,4.4,0.0015200000,0.5100700000
CVE-2016-5597,5.9,0.0059300000,0.7582000000
CVE-2016-5609,6.5,0.0017100000,0.5380700000
CVE-2016-5612,6.5,0.0031500000,0.6676300000
CVE-2016-5624,6.5,0.0029100000,0.6541200000
CVE-2016-5625,7.0,0.0004300000,0.0799100000
CVE-2016-5626,6.5,0.0024500000,0.6204500000
CVE-2016-5627,6.5,0.0017100000,0.5380700000
CVE-2016-5628,4.9,0.0011600000,0.4484200000
CVE-2016-5629,4.9,0.0017800000,0.5449200000
CVE-2016-5630,4.9,0.0015200000,0.5106200000
CVE-2016-5631,4.9,0.0012000000,0.4569400000
CVE-2016-5632,4.9,0.0012000000,0.4569400000
CVE-2016-5633,4.9,0.0012000000,0.4569400000
CVE-2016-5634,4.9,0.0012000000,0.4569400000
CVE-2016-5635,4.9,0.0012000000,0.4569400000
CVE-2016-5685,8.8,0.0009900000,0.4049900000
CVE-2016-5725,5.9,0.0099500000,0.8183300000
CVE-2016-5766,8.8,0.2503600000,0.9607800000
CVE-2016-5824,5.5,0.0084100000,0.8012300000
CVE-2016-5983,7.5,0.0151400000,0.8545400000
CVE-2016-5986,7.5,0.0013700000,0.4865300000
CVE-2016-6210,5.9,0.1073700000,0.9439600000
CVE-2016-6289,7.8,0.0031100000,0.6651100000
CVE-2016-6296,9.8,0.0097700000,0.8164600000
CVE-2016-6297,8.8,0.0070800000,0.7810300000
CVE-2016-6302,7.5,0.1520100000,0.9518000000
CVE-2016-6303,9.8,0.2067200000,0.9577000000
CVE-2016-6304,7.5,0.3124900000,0.9642400000
CVE-2016-6305,7.5,0.3493200000,0.9659000000
CVE-2016-6306,5.9,0.1684200000,0.9540200000
CVE-2016-6307,5.9,0.3884100000,0.9677500000
CVE-2016-6308,5.9,0.4039100000,0.9681800000
CVE-2016-6354,9.8,0.0070500000,0.7806900000
CVE-2016-6369,7.8,0.0004200000,0.0568200000
CVE-2016-6380,8.1,0.0061300000,0.7620800000
CVE-2016-6381,7.5,0.0035600000,0.6875200000
CVE-2016-6382,7.5,0.0029000000,0.6537600000
CVE-2016-6384,7.5,0.0025900000,0.6321800000
CVE-2016-6385,7.5,0.0029000000,0.6537600000
CVE-2016-6392,7.5,0.0025900000,0.6321800000
CVE-2016-6393,7.5,0.0027900000,0.6465800000
CVE-2016-6415,7.5,0.9737200000,0.9986700000
CVE-2016-6480,5.1,0.0010400000,0.4206800000
CVE-2016-6503,5.9,0.0150900000,0.8542600000
CVE-2016-6504,5.9,0.0131100000,0.8435200000
CVE-2016-6505,5.9,0.0137300000,0.8472700000
CVE-2016-6506,5.9,0.0030600000,0.6623700000
CVE-2016-6507,5.9,0.0030600000,0.6623700000
CVE-2016-6508,5.9,0.0030600000,0.6623700000
CVE-2016-6509,5.9,0.0030600000,0.6623700000
CVE-2016-6510,5.9,0.0035200000,0.6863000000
CVE-2016-6511,5.9,0.0030600000,0.6623700000
CVE-2016-6512,5.9,0.0150900000,0.8542600000
CVE-2016-6513,5.9,0.0027400000,0.6432000000
CVE-2016-6662,9.8,0.0051600000,0.7394900000
CVE-2016-6663,7.0,0.0006600000,0.2760100000
CVE-2016-6664,7.0,0.1175600000,0.9463800000
CVE-2016-6794,5.3,0.0013000000,0.4735000000
CVE-2016-6796,7.5,0.0015300000,0.5114400000
CVE-2016-6797,7.5,0.0016100000,0.5238200000
CVE-2016-6814,9.8,0.0202900000,0.8759300000
CVE-2016-6816,7.1,0.0026200000,0.6341800000
CVE-2016-6817,7.5,0.0294100000,0.8962700000
CVE-2016-6883,5.9,0.0026400000,0.6360800000
CVE-2016-6921,8.8,0.0113400000,0.8304500000
CVE-2016-6922,8.8,0.0197100000,0.8739700000
CVE-2016-6923,8.8,0.0113400000,0.8304500000
CVE-2016-6924,8.8,0.0197100000,0.8739700000
CVE-2016-6925,8.8,0.0113400000,0.8304500000
CVE-2016-6926,8.8,0.0113400000,0.8304500000
CVE-2016-6927,8.8,0.0113400000,0.8304500000
CVE-2016-6929,8.8,0.0113400000,0.8304500000
CVE-2016-6930,8.8,0.0113400000,0.8304500000
CVE-2016-6931,8.8,0.0113400000,0.8304500000
CVE-2016-6932,8.8,0.0113400000,0.8304500000
CVE-2016-6935,7.8,0.0005100000,0.1801000000
CVE-2016-6937,9.8,0.0232700000,0.8845000000
CVE-2016-6938,9.8,0.0151500000,0.8546300000
CVE-2016-6939,9.8,0.0148100000,0.8526800000
CVE-2016-6940,9.8,0.0179000000,0.8665700000
CVE-2016-6941,9.8,0.0179000000,0.8665700000
CVE-2016-6942,9.8,0.0179000000,0.8665700000
CVE-2016-6943,9.8,0.0111000000,0.8286200000
CVE-2016-6944,9.8,0.0084100000,0.8013500000
CVE-2016-6945,9.8,0.0084100000,0.8013500000
CVE-2016-6946,9.8,0.0084100000,0.8013500000
CVE-2016-6947,9.8,0.0179000000,0.8665700000
CVE-2016-6948,9.8,0.0111000000,0.8286200000
CVE-2016-6949,9.8,0.0117500000,0.8338300000
CVE-2016-6950,9.8,0.0179000000,0.8665700000
CVE-2016-6951,9.8,0.0179000000,0.8665700000
CVE-2016-6952,9.8,0.0084100000,0.8013500000
CVE-2016-6953,9.8,0.0084100000,0.8013500000
CVE-2016-6954,9.8,0.0111000000,0.8286200000
CVE-2016-6955,9.8,0.0111000000,0.8286200000
CVE-2016-6956,9.8,0.0111000000,0.8286200000
CVE-2016-6957,9.8,0.0183400000,0.8685700000
CVE-2016-6958,9.8,0.0065600000,0.7706800000
CVE-2016-6959,9.8,0.0179000000,0.8665700000
CVE-2016-6960,9.8,0.0179000000,0.8665700000
CVE-2016-6961,9.8,0.0084100000,0.8013500000
CVE-2016-6962,9.8,0.0084100000,0.8013500000
CVE-2016-6963,9.8,0.0084100000,0.8013500000
CVE-2016-6964,9.8,0.0084100000,0.8013500000
CVE-2016-6965,9.8,0.0084100000,0.8013500000
CVE-2016-6966,9.8,0.0179000000,0.8665700000
CVE-2016-6967,9.8,0.0084100000,0.8013500000
CVE-2016-6968,9.8,0.0084100000,0.8013500000
CVE-2016-6969,9.8,0.0084100000,0.8013500000
CVE-2016-6970,9.8,0.0111000000,0.8286200000
CVE-2016-6971,9.8,0.0084100000,0.8013500000
CVE-2016-6972,9.8,0.0179000000,0.8665700000
CVE-2016-6973,9.8,0.0179000000,0.8665700000
CVE-2016-6974,9.8,0.0179000000,0.8665700000
CVE-2016-6975,9.8,0.0179000000,0.8665700000
CVE-2016-6976,9.8,0.0179000000,0.8665700000
CVE-2016-6977,9.8,0.0179000000,0.8665700000
CVE-2016-6978,9.8,0.0179000000,0.8665700000
CVE-2016-6979,9.8,0.0084100000,0.8013500000
CVE-2016-6981,8.8,0.0113400000,0.8304500000
CVE-2016-6982,8.8,0.0139900000,0.8486300000
CVE-2016-6983,8.8,0.0139900000,0.8486300000
CVE-2016-6984,8.8,0.0139900000,0.8486300000
CVE-2016-6985,8.8,0.0139900000,0.8486300000
CVE-2016-6986,8.8,0.0140200000,0.8487400000
CVE-2016-6987,8.8,0.0134800000,0.8456300000
CVE-2016-6988,9.8,0.0084100000,0.8013500000
CVE-2016-6989,8.8,0.0139900000,0.8486300000
CVE-2016-6990,8.8,0.0139900000,0.8486300000
CVE-2016-6992,8.8,0.0157900000,0.8579500000
CVE-2016-6993,9.8,0.0119000000,0.8349700000
CVE-2016-6994,9.8,0.0238600000,0.8858400000
CVE-2016-6995,9.8,0.0111000000,0.8286200000
CVE-2016-6996,9.8,0.0111000000,0.8286200000
CVE-2016-6997,9.8,0.0111000000,0.8286200000
CVE-2016-6998,9.8,0.0111000000,0.8286200000
CVE-2016-6999,9.8,0.0280500000,0.8941900000
CVE-2016-7000,9.8,0.0111000000,0.8286200000
CVE-2016-7001,9.8,0.0111000000,0.8286200000
CVE-2016-7002,9.8,0.0111000000,0.8286200000
CVE-2016-7003,9.8,0.0111000000,0.8286200000
CVE-2016-7004,9.8,0.0111000000,0.8286200000
CVE-2016-7005,9.8,0.0111000000,0.8286200000
CVE-2016-7006,9.8,0.0111000000,0.8286200000
CVE-2016-7007,9.8,0.0111000000,0.8286200000
CVE-2016-7008,9.8,0.0111000000,0.8286200000
CVE-2016-7009,9.8,0.0111000000,0.8286200000
CVE-2016-7010,9.8,0.0111000000,0.8286200000
CVE-2016-7011,9.8,0.0111000000,0.8286200000
CVE-2016-7012,9.8,0.0111000000,0.8286200000
CVE-2016-7013,9.8,0.0111000000,0.8286200000
CVE-2016-7014,9.8,0.0111000000,0.8286200000
CVE-2016-7015,9.8,0.0111000000,0.8286200000
CVE-2016-7016,9.8,0.0111000000,0.8286200000
CVE-2016-7017,9.8,0.0111000000,0.8286200000
CVE-2016-7018,9.8,0.0111000000,0.8286200000
CVE-2016-7019,9.8,0.0099500000,0.8183200000
CVE-2016-7020,8.8,0.0083800000,0.8009300000
CVE-2016-7042,6.2,0.0012200000,0.4599300000
CVE-2016-7097,4.4,0.0004400000,0.0841200000
CVE-2016-7103,6.1,0.0046900000,0.7269400000
CVE-2016-7175,5.9,0.0027400000,0.6432000000
CVE-2016-7176,5.9,0.0019300000,0.5661900000
CVE-2016-7177,5.9,0.0031100000,0.6649200000
CVE-2016-7178,5.9,0.0032400000,0.6721300000
CVE-2016-7179,5.9,0.0029500000,0.6568300000
