cve,cvss,epss,percentile
CVE-2003-0995,7.5,0.0224000000,0.8823400000
CVE-2003-1030,7.5,0.3198000000,0.9645300000
CVE-2003-1398,9.3,0.0059300000,0.7581800000
CVE-2003-1418,4.3,0.0015700000,0.5173000000
CVE-2003-1566,5.0,0.0421000000,0.9118900000
CVE-2003-1567,5.8,0.0078400000,0.7937300000
CVE-2004-0054,7.5,0.0555300000,0.9234200000
CVE-2004-0079,5.0,0.0099400000,0.8182300000
CVE-2004-0081,5.0,0.0026000000,0.6332400000
CVE-2004-0112,5.0,0.0035000000,0.6850600000
CVE-2004-0116,5.0,0.0850500000,0.9368400000
CVE-2004-0117,7.5,0.4034800000,0.9681300000
CVE-2004-0118,7.2,0.0194900000,0.8731000000
CVE-2004-0119,7.5,0.9670300000,0.9951800000
CVE-2004-0120,5.0,0.9663400000,0.9949400000
CVE-2004-0123,7.5,0.2560600000,0.9610900000
CVE-2004-0124,2.6,0.0054900000,0.7475700000
CVE-2004-0212,10.0,0.8609300000,0.9818200000
CVE-2004-0230,5.0,0.0026500000,0.6368500000
CVE-2004-0368,10.0,0.9034100000,0.9843800000
CVE-2004-0574,10.0,0.9550300000,0.9915800000
CVE-2004-0790,5.0,0.9651300000,0.9944000000
CVE-2004-0791,5.0,0.6124100000,0.9740000000
CVE-2004-0846,7.5,0.7243400000,0.9769400000
CVE-2004-1060,5.0,0.3592800000,0.9663000000
CVE-2004-1154,10.0,0.1060300000,0.9435800000
CVE-2004-1464,5.0,0.0179500000,0.8668300000
CVE-2004-1653,6.4,0.0132400000,0.8442400000
CVE-2004-1856,5.0,0.8979500000,0.9840200000
CVE-2004-1857,2.1,0.9234600000,0.9864100000
CVE-2004-2026,7.5,0.1618200000,0.9532500000
CVE-2004-2320,5.8,0.0056300000,0.7503500000
CVE-2004-2761,5.0,0.0122400000,0.8375100000
CVE-2005-0048,7.5,0.2451100000,0.9604400000
CVE-2005-0509,4.3,0.0120900000,0.8363700000
CVE-2005-0688,5.0,0.0891600000,0.9384300000
CVE-2005-1057,7.5,0.0047400000,0.7283500000
CVE-2005-1058,7.5,0.0047400000,0.7283500000
CVE-2005-1268,5.0,0.0088600000,0.8068200000
CVE-2005-1794,6.4,0.0176000000,0.8653300000
CVE-2005-1978,7.5,0.5196800000,0.9716600000
CVE-2005-1979,5.0,0.2164900000,0.9584500000
CVE-2005-1980,5.0,0.0747800000,0.9332200000
CVE-2005-1983,10.0,0.9750800000,0.9997800000
CVE-2005-2119,5.0,0.9290200000,0.9871100000
CVE-2005-2120,6.5,0.0318000000,0.8997900000
CVE-2005-2306,3.7,0.0005200000,0.1878300000
CVE-2005-2531,5.0,0.0336300000,0.9023900000
CVE-2005-2532,5.0,0.0214900000,0.8798800000
CVE-2005-2533,2.1,0.0027200000,0.6418100000
CVE-2005-2534,2.6,0.0214900000,0.8798800000
CVE-2005-2554,2.1,0.0004200000,0.0568200000
CVE-2005-2572,8.5,0.0202300000,0.8757800000
CVE-2005-2666,1.2,0.0007100000,0.2954800000
CVE-2005-2700,10.0,0.0021400000,0.5895800000
CVE-2005-2728,5.0,0.9588800000,0.9924700000
CVE-2005-2798,5.0,0.0136200000,0.8465600000
CVE-2005-2969,5.0,0.0125900000,0.8402700000
CVE-2005-2970,5.0,0.0079400000,0.7955800000
CVE-2005-3119,2.1,0.0006000000,0.2369800000
CVE-2005-3181,2.1,0.0132300000,0.8441800000
CVE-2005-3352,4.3,0.0017400000,0.5418100000
CVE-2005-3357,5.4,0.9742100000,0.9990700000
CVE-2005-3644,7.8,0.3875600000,0.9677200000
CVE-2005-3666,10.0,0.0036700000,0.6923300000
CVE-2005-4131,6.8,0.6034300000,0.9736600000
CVE-2005-4473,5.0,0.0052300000,0.7414400000
CVE-2005-4823,10.0,0.2565800000,0.9611100000
CVE-2006-0009,5.1,0.6504000000,0.9748300000
CVE-2006-0028,5.1,0.9654800000,0.9945300000
CVE-2006-0029,5.1,0.7033400000,0.9763900000
CVE-2006-0030,5.1,0.6156900000,0.9740500000
CVE-2006-0031,5.1,0.5895300000,0.9733000000
CVE-2006-0225,4.6,0.0011000000,0.4356900000
CVE-2006-0987,5.0,0.0156800000,0.8573200000
CVE-2006-1301,9.3,0.9229300000,0.9863300000
CVE-2006-1302,9.3,0.9031400000,0.9843500000
CVE-2006-1304,9.3,0.9156500000,0.9855500000
CVE-2006-1306,9.3,0.9164900000,0.9856300000
CVE-2006-1308,9.3,0.9061600000,0.9846400000
CVE-2006-1309,9.3,0.9229300000,0.9863300000
CVE-2006-1316,9.3,0.7597800000,0.9780400000
CVE-2006-1318,9.3,0.0918800000,0.9394000000
CVE-2006-1540,9.3,0.4842900000,0.9705800000
CVE-2006-20001,7.5,0.0004400000,0.1054500000
CVE-2006-2313,7.5,0.0167600000,0.8618800000
CVE-2006-2370,7.5,0.9456800000,0.9896300000
CVE-2006-2371,7.5,0.9490200000,0.9902800000
CVE-2006-2387,5.1,0.6697300000,0.9753500000
CVE-2006-2388,9.3,0.9297900000,0.9872000000
CVE-2006-2389,9.3,0.7459700000,0.9776400000
CVE-2006-2937,7.8,0.1355500000,0.9493000000
CVE-2006-2940,7.8,0.0671900000,0.9300800000
CVE-2006-3059,9.3,0.9497600000,0.9903700000
CVE-2006-3066,5.0,0.0295000000,0.8963600000
CVE-2006-3067,5.0,0.0661000000,0.9294700000
CVE-2006-3068,5.0,0.0172600000,0.8638000000
CVE-2006-3093,6.8,0.0131500000,0.8438000000
CVE-2006-3231,4.3,0.0092600000,0.8114100000
CVE-2006-3431,7.5,0.1882600000,0.9560700000
CVE-2006-3434,9.3,0.5788800000,0.9730500000
CVE-2006-3439,10.0,0.9689900000,0.9960600000
